Country,State,County,City,Facility,Address,Zip,Latitude,Longitude,Phone 1,Phone 2,Web Address,Additional Information
United States,Colorado,Alamosa,Alamosa,Valley Wide Health Systems,n/a,n/a,37.468189,-105.87429,719-588-8609,n/a,https://vwhs.org/,n/a
United States,Colorado,Morgan,Fort Morgan,S.A.R.A. House,418 Ensign St.,80701,40.251942,-103.802315,970-867-2121,n/a,http://sarainc.org/,n/a
United States,Colorado,Boulder,Boulder,Boulder Community Health - Foothills,4747 Arapahoe Ave ,80303,40.01588,-105.238002,303-415-7600,n/a,https://www.bch.org/Locations/Foothills-Hospital.aspx,n/a
United States,Colorado,Summit,Frisco,St. Anthony Summit Medical Center ,"340 Peak One Dr,",80443,39.569979,-106.076826,970-668-3300,970-668-6901,https://www.centura.org/locations/st-anthony-summit-medical-center,n/a
United States,Colorado,Fremont,Canon City,St. Thomas More Hospital,1338 Phay Ave,81212,38.454719,-105.231117,719-285-2270,n/a,https://www.centura.org/locations/st-thomas-more-hospital,n/a
United States,Colorado,Gunnison,Gunnison,Gunnison Valley Hospital,711 N. Taylor St. ,81230,38.552246,-106.924663,970-641-1456,n/a,https://www.gunnisonvalleyhealth.org/,n/a
United States,Colorado,Chaffee,Salida,The Alliance Chaffee,n/a,n/a,38.534718,-105.998901,719-539-7347,n/a,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Chaffee,Buena Vista,The Alliance Chaffee,n/a,n/a,38.842218,-106.131129,719-539-7347,n/a,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Chaffee,Poncha Springs,The Alliance Chaffee,n/a,n/a,38.512775,-106.077238,719-539-7347,n/a,https://alliancechaffee.org/,(24/7 Ask for SANE)
United States,Colorado,Mesa,Grand Junction,Mesa County SANE Program,n/a,n/a,39.065369,-108.569527,970-242-6707,n/a,n/a,"To page SANE program, call Dispatch"
United States,Colorado,El Paso,Colorado Springs,Memorial Hospital Central,1400 E Boulder St,80909,38.838951,-104.799258,719-365-8333,n/a,https://www.uchealth.org/locations/uchealth-memorial-hospital-central/,n/a
United States,Colorado,El Paso,Colorado Springs,Memorial Hospital North,4050 Briargate Pkwy,80920,38.967801,-104.753943,719-364-5000,n/a,https://www.uchealth.org/locations/uchealth-memorial-hospital-north/,n/a
United States,Colorado,Weld,Greeley,North Colorado Medical Center,1801 16th St,80631,40.41424,-104.70964,970-350-6244,n/a,https://www.bannerhealth.com/locations/greeley/north-colorado-medical-center,n/a
United States,Colorado,Weld,Greeley,Banner Health West Emergency Room,n/a,n/a,40.423313,-104.709129,970-810-2690,n/a,https://www.bannerhealth.com/services/emergency?locationname=west-colorado-medical-center,n/a
United States,Colorado,Montezuma,Cortez,Southwest Memorial Hospital ER,1311 N Mildred Rd,81321,37.361491,-108.574262,970-564-2025,n/a,https://www.swhealth.org/,n/a
United States,Colorado,Lincoln,Hugo,Lincoln Community Hospital,111 6th St,80821,39.26659,-103.67973,719-743-2121,n/a,http://www.hugohospital.com/,n/a
United States,Colorado,Moffat,Craig,Memorial Regional Health,750 Hospital Loop,81625,40.518398,-107.58004,970-824-2400,n/a,https://memorialregionalhealth.com/,on-call SANE accessed via local advocacy center number 24/7
United States,Colorado,Boulder,Longmont,UC Health Longs Peak Hospital,1750 E Ken Pratt Blvd,80504,40.161925,-105.058271,970-237-8100,n/a,https://www.uchealth.org/locations/uchealth-longs-peak-hospital/,n/a
United States,Colorado,Delta,Delta,Delta County Memorial Hospital,1501 E 3rd St,81416,38.74307,-108.05948,970-874-2221,n/a,http://www.deltahospital.org/,n/a
United States,Colorado,Larimer,Loveland,Medical Center of the Rockies,2500 Rocky Mountain Ave,80538,40.416569,-104.998176,970-624-1600,n/a,https://www.uchealth.org/locations/uchealth-medical-center-of-the-rockies/,n/a
United States,Colorado,Larimer,Loveland,McKee Medical Center,2000 N Boise Ave,80538,40.413199,-105.051394,970-820-4640,n/a,https://www.bannerhealth.com/locations/loveland/mckee-medical-center,n/a
United States,Colorado,Denver,Denver,Denver Health Medical Center,777 Bannock St,80204,39.727656,-104.991082,303-602-8100,303-602-3007,https://www.denverhealth.org/,n/a
United States,Colorado,Arapahoe,Littleton,Littleton Adventist,7700 S Broadway,80122,39.57642,-104.98615,303-778-2407,n/a,https://www.centura.org/locations/littleton-adventist-hospital,n/a
United States,Colorado,Douglas,Aurora,Medical Center of Aurora,1501 S Potomac St,80012,39.689276,-104.831851,303-671-4945,303-695-2600,https://auroramed.com/,n/a
United States,Colorado,Denver,Denver,Porter Adventist Hospital,2525 S Downing St,80210,39.670055,-104.974899,303-778-2407,n/a,https://www.centura.org/locations/porter-adventist-hospital,n/a
United States,Colorado,Jefferson,Lakewood,St. Anthony Hospital,11600 W 2nd Pl,80228,39.715791,-105.129639,720-321-4103,n/a,https://www.centura.org/locations/st-anthony-hospital,n/a
United States,Colorado,Adams,Westminster,St. Anthony Hospital - 84th Avenue Location,2551 W 84th Ave,80031,39.85099,-105.018727,303-426-2121,n/a,https://www.centura.org/locations/84th-avenue-neighborhood-health-center,n/a
United States,Colorado,Broomfield,Westminster,St. Anthony Hospital - North Health Location,4300 Orchard Pkwy,80023,39.95027,-104.99363,303-426-2121,n/a,https://www.centura.org/locations/st-anthony-north-health-campus,n/a
United States,Colorado,Douglas,Aurora,UCHealth Aurora,12605 E 16th Ave,80045,39.742234,-104.840795,720-848-8451,n/a,https://www.uchealth.org/locations/uchealth-university-of-colorado-hospital-uch/,n/a
United States,Colorado,Montrose,Montrose,Montrose Memorial Hospital,800 S 3rd St,81401,38.48055,-107.86872,970-249-2211,n/a,http://www.montrosehospital.com/,n/a
United States,Colorado,La Plata,Durango,Mercy Regional Medical Center,1010 Three Springs Blvd,81301,37.23594,-107.82583,970-764-2100,n/a,https://www.centura.org/locations/mercy-regional-medical-center,n/a
United States,Colorado,Larimer,Fort Collins,Harmony Emergency Room,4630 Snow Mesa Dr,80528,40.5225,-105.0311,970-237-8100,n/a,https://www.uchealth.org/locations/uchealth-emergency-room-harmony/,n/a
United States,Colorado,Larimer,Fort Collins,Poudre Valley Hospital,1024 S Lemay Ave,80524,40.57174,-105.05662,970-495-7000,n/a,https://www.uchealth.org/locations/uchealth-poudre-valley-hospital/,n/a
United States,Colorado,Larimer,Fort Collins,Banner Ft. Collins Medical Center,4700 Lady Moon Dr,80528,40.5212,-105.01095,970-821-4000,n/a,https://www.uchealth.org/locations/uchealth-poudre-valley-hospital/,n/a
United States,Colorado,Garfield,Garfield,Mountain West SANE Alliance,n/a,n/a,39.51938,-107.71488,970-625-8095 ,n/a,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Pitkin,Pitkin,Mountain West SANE Alliance,n/a,n/a,38.60957,-106.51708,970-625-8096,n/a,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Rio Blanco,Rio Blanco,Mountain West SANE Alliance,n/a,n/a,39.55552,-107.69662,970-625-8097,n/a,http://www.riverbridgerc.org/river-bridge-voices/mountainwestsanealliancehasapermanenthomewithriverbridgeregionalcenter,Call Garfield County Dispatch and request call back from SANE on call
United States,Colorado,Pueblo,Pueblo,Parkview Medical Center,400 W 16th St,81003,38.28184,-104.61218,719-584-4000,n/a,https://www.parkviewmc.com/,n/a
United States,Colorado,Routt,Steamboat Springs,UCHealth Yampa Valley Medical Center,1024 Central Park Dr,80487,40.46304,-106.81485,970-879-1322,n/a,https://www.uchealth.org/locations/uchealth-yampa-valley-medical-center/,n/a
United States,Colorado,Las Animas,Trinidad,Mt. San Rafael Hospital,410 Benedicta Ave,81082,37.17311,-104.48751,719-846-4262,n/a,http://www.msrhc.org/,n/a
United States,New Mexico,San Juan,Farmington,Sexual Assault Services of Northwest New Mexico,"622 West Maple Street, Suite H",87401,36.724996,-108.213478,505-326-4700,1-866-908-4700,https://www.sasnwnm.org,Rape crisis 24-hour hotline
United States,Utah,Salt Lake,Salt Lake City,Utah Coalition Against Sexual Assault,284 West 400 North,84103,40.778309,-111.899092,1-888-421-1100,n/a,https://www.ucasa.org/,Utah's 24-hour Sexual Violence Crisis Line
United States,Arizona,Maricopa,Phoenix,Arizona Coalition to End Sexual & Domestic Violence,"2700 N. Central Ave, Suite 1100",85004,33.477947,-112.074521,602-279-2900,1-800-782-6400,https://www.acesdv.org,Sexual and Domestic Violence Services Helpline
